Data successfully loaded.
Epoch: [26/1000], Batch: [0/29], Loss: 2.0424, Acc: 10.7421875%
Epoch: [26/1000], Batch: [10/29], Loss: 2.0333, Acc: 9.5703125%
Epoch: [26/1000], Batch: [20/29], Loss: 2.0513, Acc: 8.7890625%
Epoch: [27/1000], Batch: [0/29], Loss: 2.0420, Acc: 10.7421875%
Epoch: [27/1000], Batch: [10/29], Loss: 2.0327, Acc: 9.5703125%
Epoch: [27/1000], Batch: [20/29], Loss: 2.0507, Acc: 8.7890625%
Epoch: [28/1000], Batch: [0/29], Loss: 2.0415, Acc: 10.7421875%
Epoch: [28/1000], Batch: [10/29], Loss: 2.0322, Acc: 9.5703125%
Epoch: [28/1000], Batch: [20/29], Loss: 2.0502, Acc: 8.7890625%
Epoch: [29/1000], Batch: [0/29], Loss: 2.0411, Acc: 10.7421875%
Epoch: [29/1000], Batch: [10/29], Loss: 2.0317, Acc: 9.5703125%
Epoch: [29/1000], Batch: [20/29], Loss: 2.0497, Acc: 8.7890625%
Epoch: [30/1000], Batch: [0/29], Loss: 2.0407, Acc: 10.7421875%
Epoch: [30/1000], Batch: [10/29], Loss: 2.0311, Acc: 9.5703125%
Epoch: [30/1000], Batch: [20/29], Loss: 2.0492, Acc: 8.7890625%
Epoch: [31/1000], Batch: [0/29], Loss: 2.0403, Acc: 10.7421875%
Epoch: [31/1000], Batch: [10/29], Loss: 2.0307, Acc: 9.5703125%
Epoch: [31/1000], Batch: [20/29], Loss: 2.0487, Acc: 8.7890625%
Epoch: [32/1000], Batch: [0/29], Loss: 2.0399, Acc: 10.7421875%
Epoch: [32/1000], Batch: [10/29], Loss: 2.0302, Acc: 9.5703125%
Epoch: [32/1000], Batch: [20/29], Loss: 2.0483, Acc: 8.7890625%
Epoch: [33/1000], Batch: [0/29], Loss: 2.0395, Acc: 10.7421875%
Epoch: [33/1000], Batch: [10/29], Loss: 2.0297, Acc: 9.5703125%
Epoch: [33/1000], Batch: [20/29], Loss: 2.0479, Acc: 8.7890625%
Epoch: [34/1000], Batch: [0/29], Loss: 2.0391, Acc: 10.7421875%
Epoch: [34/1000], Batch: [10/29], Loss: 2.0293, Acc: 9.5703125%
Epoch: [34/1000], Batch: [20/29], Loss: 2.0475, Acc: 8.7890625%
Epoch: [35/1000], Batch: [0/29], Loss: 2.0388, Acc: 10.7421875%
Epoch: [35/1000], Batch: [10/29], Loss: 2.0289, Acc: 9.5703125%
Epoch: [35/1000], Batch: [20/29], Loss: 2.0471, Acc: 8.7890625%
Epoch: [36/1000], Batch: [0/29], Loss: 2.0384, Acc: 10.7421875%
Epoch: [36/1000], Batch: [10/29], Loss: 2.0286, Acc: 9.5703125%
Epoch: [36/1000], Batch: [20/29], Loss: 2.0468, Acc: 8.7890625%
Epoch: [37/1000], Batch: [0/29], Loss: 2.0380, Acc: 10.7421875%
Epoch: [37/1000], Batch: [10/29], Loss: 2.0282, Acc: 9.5703125%
